country_iso3,year,funding_total_usd,beneficiaries_total,projects_count
BFA,2020,424357861,4400000,1
BFA,2021,607875894,4400000,1
BFA,2022,805099698,4400000,1
BFA,2023,876731475,4400000,1
BFA,2024,934604385,4400000,1
CAF,2020,553622290,2286959,1
CAF,2021,444760000,2286959,1
CAF,2022,461253975,2286959,1
CAF,2023,533305798,2286959,1
CAF,2024,367670976,2286959,1
CMR,2020,390920124,2900000,1
CMR,2021,361554315,2900000,1
CMR,2022,376046051,2900000,1
CMR,2023,407309869,2900000,1
CMR,2024,371369724,2900000,1
MLI,2020,474292180,5100000,1
MLI,2021,563286869,5100000,1
MLI,2022,685734819,5100000,1
MLI,2023,751470941,5100000,1
MLI,2024,701569941,5100000,1
NER,2020,516074957,2600000,1
NER,2021,523182880,2600000,1
NER,2022,552598446,2600000,1
NER,2023,583906619,2600000,1
NER,2024,662192757,2600000,1
NGA,2021,1006358629,5900000,1
NGA,2024,926542686,5900000,1
SDN,2020,1633403129,33699770,1
SDN,2021,1939814880,33699770,1
SDN,2022,1936697740,33699770,1
SDN,2023,2565230201,33699770,1
SDN,2024,2695680744,33699770,1
SSD,2020,1899937964,9913863,1
SSD,2021,1677772788,9913863,1
SSD,2022,1699588587,9913863,1
SSD,2023,2055885216,9913863,1
SSD,2024,1788817122,9913863,1
TCD,2020,664641160,4509014,1
TCD,2021,617522407,4509014,1
TCD,2022,510909899,4509014,1
TCD,2023,920624766,4509014,1
TCD,2024,1124572823,4509014,1
