origin_iso3,dest_iso3,year,people_flow
CAF,CAF,2020,3999126
CAF,CAF,2021,2337384
CAF,CAF,2022,5292207
CAF,CAF,2023,2680782
CAF,CAF,2024,4046958
CAF,SSD,2024,2388
CMR,CMR,2020,965658
CMR,CMR,2021,2097498
CMR,CMR,2022,2289747
CMR,CMR,2023,2644482
CMR,CMR,2024,1427613
COD,SSD,2024,12318
ETH,SSD,2024,47373
KEN,SSD,2024,32976
MLI,MLI,2020,7146453
MLI,MLI,2021,4505679
MLI,MLI,2022,3616665
MLI,MLI,2023,1126617
NER,NER,2022,917481
NER,NER,2024,747582
NGA,NGA,2020,69384021
NGA,NGA,2021,58862700
NGA,NGA,2022,27426048
NGA,NGA,2023,27472983
NGA,NGA,2024,31792665
SDN,SDN,2020,7198299
SDN,SDN,2021,18369438
SDN,SDN,2022,22481592
SDN,SDN,2023,428064276
SDN,SDN,2024,880993584
SDN,SSD,2024,330498
SSD,SSD,2020,14780955
SSD,SSD,2021,48996120
SSD,SSD,2022,6773016
SSD,SSD,2023,6081993
SSD,SSD,2024,5110383
TCD,TCD,2020,3234357
TCD,TCD,2021,4930353
TCD,TCD,2022,600093
TCD,TCD,2023,1868451
TCD,TCD,2024,1320009
